type,lat,lon,activity_score,year,nightlights,ndbi
hotel,-1.9508748,30.0984072,1,2015,17.976036,0.05951469704160032
restaurant,-1.9508695000000005,30.09828119999999,1,2015,17.976036,0.05951469704160032
guest_house,-1.9634832,30.0636164,1,2015,20.325254,0.05951469704160032
place_of_worship,-1.9752214,30.0559706,1,2015,6.57717,0.05951469704160032
alcohol,-1.9758648000000003,30.0542647,1,2015,9.348406,0.05951469704160032
fuel,-1.9307826,30.0636008,1,2015,12.497031,0.05951469704160032
fuel,-1.9303055,30.064802700000005,1,2015,13.500924,0.05951469704160032
fuel,-1.9343506,30.062064199999995,1,2015,14.519165,0.05951469704160032
marketplace,-1.970214399999999,30.1259984,1,2015,8.388117,0.05951469704160032
restaurant,-1.9688684,30.1258542,1,2015,10.111491,0.05951469704160032
restaurant,-1.9432829,30.05915359999999,1,2015,39.92476,0.05951469704160032
bank,-1.9428986,30.0597422,1,2015,34.786793,0.05951469704160032
bar,-1.9781503,30.047692,1,2015,11.141965,0.05951469704160032
taxi,-1.9686564,30.057656,1,2015,16.020905,0.05951469704160032
supermarket,-1.9437009,30.0594786,1,2015,39.92476,0.05951469704160032
restaurant,-1.9438031,30.0597522,1,2015,39.92476,0.05951469704160032
car_wash,-1.9787525,30.049118100000005,1,2015,11.141965,0.05951469704160032
bank,-1.9461854,30.0598492,1,2015,39.92476,0.05951469704160032
school,-1.9766973999999995,30.051264700000004,1,2015,9.348406,0.05951469704160032
place_of_worship,-1.9762041,30.0518441,1,2015,9.348406,0.05951469704160032
school,-1.9499744,30.082583300000003,1,2015,18.88896,0.05951469704160032
place_of_worship,-1.9770405,30.0525844,1,2015,9.348406,0.05951469704160032
place_of_worship,-1.946461,30.0782016,1,2015,15.82708,0.05951469704160032
convenience,-1.9326861,30.0737382,1,2015,21.23967,0.05951469704160032
kiosk,-1.932804,30.0737784,1,2015,21.23967,0.05951469704160032
fuel,-1.934517,30.0778877,1,2015,18.911425,0.05951469704160032
