type,lat,lon,activity_score,nightlights,ndbi,avg_nightlights,avg_ndbi,econ_intensity_pc1,coverage_ratio,cluster_enhanced,cluster_label
supermarket,-1.9460621000000002,30.059904300000003,1,,,0.0,0.0,-0.7078393979599457,1.6189806985460047,1,Peri-urban Emerging
supermarket,-1.9458437,30.0615291,1,49.08573209090909,-0.20194348845076363,49.08573209090909,-0.20194348845076363,-0.3555521728368423,12.081070596390873,2,Peri-urban Emerging
fuel,-1.9447886999999997,30.0596034,1,,,0.0,0.0,-0.7078393979599457,3.025242108740573,1,Peri-urban Emerging
doityourself,-1.9427185,30.060411,1,35.631873999999996,0.25806106791287275,35.631873999999996,0.25806106791287275,3.9892423334673786,0.525602848216673,1,Peri-urban Emerging
doityourself,-1.9430633999999996,30.059472200000002,1,,,0.0,0.0,-0.7078393979599457,3.025242108740573,1,Peri-urban Emerging
doityourself,-1.9432216000000002,30.059257699999993,1,,,0.0,0.0,-0.7078393979599457,3.025242108740573,1,Peri-urban Emerging
supermarket,-1.9458714999999998,30.05578029999999,1,,,0.0,0.0,-0.7078393979599457,1.6189806985460047,1,Peri-urban Emerging
hotel,-1.9528484,30.0574064,1,26.987926636363635,0.07083753027650912,26.987926636363635,0.07083753027650912,1.481982258911106,1.5748247285184485,1,Peri-urban Emerging
books,-1.9485917,30.059257800000005,1,34.03195354545455,0.23161574336741822,34.03195354545455,0.23161574336741822,3.6152599692128042,1.6189806985460047,1,Peri-urban Emerging
bank,-1.951466,30.062500999999997,1,,,0.0,0.0,-0.7078393979599457,2.5738598029040247,1,Peri-urban Emerging
doityourself,-1.9521082,30.057158100000002,1,,,0.0,0.0,-0.7078393979599457,1.5748247285184485,1,Peri-urban Emerging
restaurant,-1.9571198,30.109457599999995,1,44.37281918181818,0.09055807827650912,44.37281918181818,0.09055807827650912,2.608214571179586,1.864070080935801,1,Peri-urban Emerging
fuel,-1.9408318,30.0431581,1,24.17951672727273,0.07412573036741821,24.17951672727273,0.07412573036741821,1.3711028164964578,14.482923782259697,2,Peri-urban Emerging
fuel,-1.9385599000000002,30.0437693,1,,,0.0,0.0,-0.7078393979599457,1.2060367119771103,1,Peri-urban Emerging
hotel,-1.9794787,30.0401562,1,8.254803509090909,0.09950229882196365,8.254803509090909,0.09950229882196365,0.816255988628389,2.467623364017314,1,Peri-urban Emerging
nightclub,-1.9795484,30.0402019,1,8.254803509090909,0.09950229882196365,8.254803509090909,0.09950229882196365,0.816255988628389,2.467623364017314,1,Peri-urban Emerging
biergarten,-1.9789955,30.040593299999994,1,,,0.0,0.0,-0.7078393979599457,2.467623364017314,1,Peri-urban Emerging
biergarten,-1.9790662,30.040522700000004,1,8.254803509090909,0.09950229882196365,8.254803509090909,0.09950229882196365,0.816255988628389,2.467623364017314,1,Peri-urban Emerging
bank,-1.9471565,30.0600806,1,49.08573209090909,-0.20194348845076363,49.08573209090909,-0.20194348845076363,-0.3555521728368423,12.081070596390873,2,Peri-urban Emerging
cafe,-1.9455336,30.061501700000004,1,49.08573209090909,-0.20194348845076363,49.08573209090909,-0.20194348845076363,-0.3555521728368423,12.081070596390873,2,Peri-urban Emerging
