type,geometry,lat,lon,activity_score
cafe,POINT (30.0987788 -1.9320227),-1.9320227000000003,30.0987788,1
restaurant,POINT (30.0994032 -1.9361382),-1.9361382000000003,30.0994032,1
restaurant,POINT (30.0891156 -1.9456456),-1.9456456,30.089115599999996,1
cafe,POINT (30.0796326 -1.9467122),-1.9467122,30.0796326,1
cafe,POINT (30.0846443 -1.9510858),-1.9510858000000002,30.084644299999997,1
pharmacy,POINT (30.0588919 -1.9430115),-1.9430114999999997,30.0588919,1
restaurant,POINT (30.0614763 -1.9460536),-1.9460536,30.061476299999995,1
restaurant,POINT (30.0637697 -1.9454256),-1.9454256,30.0637697,1
restaurant,POINT (30.0950909 -1.9601916),-1.9601915999999995,30.09509089999999,1
pharmacy,POINT (30.0699447 -1.9243193),-1.9243192999999998,30.069944699999997,1
restaurant,POINT (30.0650917 -1.9473796),-1.9473795999999999,30.0650917,1
bar,POINT (30.111559 -1.9589281),-1.9589281,30.111558999999996,1
restaurant,POINT (30.1153267 -1.9517497),-1.9517497,30.115326699999994,1
cafe,POINT (30.068589 -1.9606523),-1.9606523000000002,30.068589,1
restaurant,POINT (30.1056769 -1.9626643),-1.9626643000000004,30.1056769,1
restaurant,POINT (30.0774406 -1.9391594),-1.9391594000000003,30.077440599999996,1
restaurant,POINT (30.1040264 -1.9568382),-1.9568381999999995,30.1040264,1
cafe,POINT (30.0835214 -1.9529412),-1.9529411999999995,30.083521400000002,1
bar,POINT (30.1187989 -1.959974),-1.9599740000000003,30.1187989,1
bar,POINT (30.1146223 -1.958087),-1.958087,30.114622300000004,1
bank,POINT (30.061855 -1.9482091),-1.9482091000000001,30.061855,1
bar,POINT (30.0533043 -1.9006382),-1.9006382,30.0533043,1
bar,POINT (30.0531782 -1.9011143),-1.9011143,30.053178199999994,1
cafe,POINT (30.0608708 -1.9463779),-1.9463778999999997,30.060870799999993,1
restaurant,POINT (30.081562 -1.9521764),-1.9521764,30.081561999999998,1
restaurant,POINT (30.0601129 -1.9649077),-1.9649077,30.060112899999996,1
bar,POINT (30.0579126 -1.9694353),-1.9694353000000002,30.0579126,1
bar,POINT (30.079725 -1.9465867),-1.9465866999999997,30.079725,1
bar,POINT (30.0792399 -1.9445691),-1.9445690999999998,30.079239899999997,1
supermarket,POINT (30.060837 -1.9461258),-1.9461258000000001,30.060837000000003,1
pharmacy,POINT (30.0600024 -1.9454629),-1.9454629000000003,30.060002399999995,1
bar,POINT (30.1129098 -1.9584419),-1.9584419,30.1129098,1
cafe,POINT (30.1125762 -1.9585021),-1.9585020999999998,30.1125762,1
cafe,POINT (30.1115687 -1.9581174),-1.9581173999999997,30.1115687,1
restaurant,POINT (30.1003118 -1.9266335),-1.9266335000000003,30.100311799999997,1
bank,POINT (30.0955227 -1.977207),-1.9772069999999995,30.0955227,1
bar,POINT (30.1345654 -1.9616848),-1.9616848,30.134565399999993,1
bank,POINT (30.1196002 -1.9581306),-1.9581306,30.1196002,1
bank,POINT (30.1196058 -1.9581367),-1.9581367,30.119605799999995,1
bank,POINT (30.1152746 -1.9572545),-1.9572545000000001,30.1152746,1
bank,POINT (30.1153462 -1.9573078),-1.9573077999999997,30.1153462,1
restaurant,POINT (30.1361224 -1.9605559),-1.9605558999999997,30.136122399999998,1
cafe,POINT (30.1189864 -1.9644561),-1.9644561,30.118986399999997,1
cafe,POINT (30.124963 -1.9625163),-1.9625162999999999,30.124963,1
supermarket,POINT (30.1234991 -1.9618527),-1.9618527,30.1234991,1
bank,POINT (30.1216416 -1.9609702),-1.9609701999999996,30.121641600000004,1
supermarket,POINT (30.121555 -1.9608591),-1.9608591,30.121555,1
pharmacy,POINT (30.1211049 -1.9614671),-1.9614671,30.12110489999999,1
bank,POINT (30.1198631 -1.9610222),-1.9610222,30.1198631,1
pharmacy,POINT (30.1029892 -2.0295413),-2.0295413,30.1029892,1
pharmacy,POINT (30.1031931 -1.9683333),-1.9683333000000003,30.103193100000002,1
pharmacy,POINT (30.1031563 -1.9682464),-1.9682464,30.10315629999999,1
pharmacy,POINT (30.1030963 -1.9677719),-1.9677718999999998,30.103096299999994,1
supermarket,POINT (30.1030638 -1.9676125),-1.9676125,30.103063799999994,1
pharmacy,POINT (30.1049088 -1.9784453),-1.9784452999999995,30.104908799999997,1
restaurant,POINT (30.0986733 -1.9923375),-1.9923375,30.098673300000005,1
pharmacy,POINT (30.1028987 -1.9855824),-1.9855823999999995,30.102898700000004,1
pharmacy,POINT (30.1037449 -1.9828724),-1.9828724,30.1037449,1
pharmacy,POINT (30.1038026 -1.9825765),-1.9825765,30.103802599999998,1
pharmacy,POINT (30.1046259 -1.9808439),-1.9808438999999998,30.104625899999995,1
pharmacy,POINT (30.1046407 -1.9806564),-1.9806564,30.104640700000004,1
pharmacy,POINT (30.1049091 -1.9786578),-1.9786578000000001,30.104909099999997,1
restaurant,POINT (30.0940901 -1.9997423),-1.9997423,30.094090099999992,1
pharmacy,POINT (30.1049083 -1.9783901),-1.9783900999999995,30.1049083,1
restaurant,POINT (30.1047346 -1.9779517),-1.9779516999999998,30.1047346,1
pharmacy,POINT (30.1047077 -1.9777909),-1.9777908999999996,30.104707700000002,1
